Unid. 1,Unid. 2,Unid. 3,Resultado,Sit.,op_aritmetico,if,op_logico,while,vetor,dev_jogos,html,css,p5js,cpp,java,javascript,python,Você tem acesso regular a um ambiente computacional no qual possa programar durante a disciplina?,Quanto tempo você disponível para estudar para disciplina por semana? (Em horas) ,interesse_em_programacao,seu_ensino_medio
10.0,10.0,9.1,9.7,APR,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,5.0,10,Técnica pública
9.1,8.7,4.0,7.3,APR,3.0,3,3.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,Sim,10.0,10,Técnica pública
9.5,8.9,6.8,8.4,APR,1.0,1,1.0,1,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,Sim,0.0,8,Ensino médio convencional particular
4.1,0.0,0.0,1.4,REP,3.0,3,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,Sim,10.0,10,Ensino médio convencional público
0.2,0.0,0.0,0.1,REP,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,12.0,6,Ensino médio convencional público
10.0,10.0,6.0,8.7,APR,0.0,0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Sim,6.0,6,Ensino médio convencional particular
0.5,0.0,0.0,0.2,REP,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,20.0,7,Ensino médio convencional público
10.0,10.0,8.8,9.6,APR,1.0,0,0.0,0,0.0,0.0,0,1.0,1.0,0.0,0.0,1.0,0.0,Sim,20.0,8,Técnica pública
9.8,10.0,4.0,7.9,APR,3.0,3,1.0,3,0.0,1.0,0,0.0,0.0,3.0,3.0,0.0,0.0,Sim,4.0,9,Técnica pública
9.1,6.7,4.0,6.6,APRN,3.0,3,3.0,3,1.0,0.0,3,3.0,0.0,0.0,1.0,0.0,1.0,Sim,4.0,9,Ensino médio convencional público
